medal_type,medal_code,medal_date,athlete_name,event,country,discipline
Bronze Medal,3,00:00.0,DAHLKEMPER Abby,Women,United States of America,Football
Bronze Medal,3,00:00.0,FRANCH Adrianna,Women,United States of America,Football
Bronze Medal,3,00:00.0,NAEHER Alyssa,Women,United States of America,Football
Bronze Medal,3,00:00.0,CAMPBELL Jane,Women,United States of America,Football
Bronze Medal,3,00:00.0,LLOYD Carli,Women,United States of America,Football
Bronze Medal,3,00:00.0,MACARIO Catarina,Women,United States of America,Football
Bronze Medal,3,00:00.0,PRESS Christen,Women,United States of America,Football
Bronze Medal,3,00:00.0,KRUEGER Casey,Women,United States of America,Football
Bronze Medal,3,00:00.0,DUNN Crystal,Women,United States of America,Football
Bronze Medal,3,00:00.0,SONNETT Emily,Women,United States of America,Football
Bronze Medal,3,00:00.0,ERTZ Julie,Women,United States of America,Football
Bronze Medal,3,00:00.0,MEWIS Kristie,Women,United States of America,Football
Bronze Medal,3,00:00.0,O'HARA Kelley,Women,United States of America,Football
Bronze Medal,3,00:00.0,HORAN Lindsey,Women,United States of America,Football
Bronze Medal,3,00:00.0,WILLIAMS Lynn,Women,United States of America,Football
Bronze Medal,3,00:00.0,RAPINOE Megan,Women,United States of America,Football
Bronze Medal,3,00:00.0,LAVELLE Rose,Women,United States of America,Football
Bronze Medal,3,00:00.0,SAUERBRUNN Becky,Women,United States of America,Football
Bronze Medal,3,00:00.0,MEWIS Samantha,Women,United States of America,Football
Bronze Medal,3,00:00.0,DAVIDSON Tierna,Women,United States of America,Football
Bronze Medal,3,00:00.0,HEATH Tobin,Women,United States of America,Football
Gold Medal,1,00:00.0,MATLA Frederique,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,NUNNINK Laura Maria,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,PHENINCKX Malou,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,SANDERS Pien,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,STAM Lauren Lara Jeanette,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,van GEFFEN Margot,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,van MAASAKKER Caia Jacqueline,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,VERSCHOOR Maria,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,WELTEN Lidewij Marsia Maria,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,ALBERS Felice,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,de GOEDE Eva Roma Maria,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,de WAARD Xan Gerdien,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,KEETELS Marloes Johanna Maria,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,KONING Josine,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,KOOLEN Sanne Anne Leonie,Women,Netherlands,Hockey
Gold Medal,1,00:00.0,LEURINK Laurien,Women,Netherlands,Hockey
Silver Medal,2,00:00.0,SUCCI Maria Belen,Women,Argentina,Hockey
Silver Medal,2,00:00.0,ALONSO Agostina,Women,Argentina,Hockey
Silver Medal,2,00:00.0,ALBERTARRIO Agustina,Women,Argentina,Hockey
Silver Medal,2,00:00.0,MERINO Delfina,Women,Argentina,Hockey
Silver Medal,2,00:00.0,GRANATTO Maria Jose,Women,Argentina,Hockey
Silver Medal,2,00:00.0,JANKUNAS Julieta,Women,Argentina,Hockey
Silver Medal,2,00:00.0,RETEGUI Micaela,Women,Argentina,Hockey
Silver Medal,2,00:00.0,TOCCALINO Sofia,Women,Argentina,Hockey
Silver Medal,2,00:00.0,SAUZE VALDEZ Victoria,Women,Argentina,Hockey
Silver Medal,2,00:00.0,COSTA BIONDI Valentina Isabel,Women,Argentina,Hockey
Silver Medal,2,00:00.0,GRANATTO Maria Victoria,Women,Argentina,Hockey
Silver Medal,2,00:00.0,TRINCHINETTI Eugenia Maria,Women,Argentina,Hockey
Silver Medal,2,00:00.0,GORZELANY Agustina,Women,Argentina,Hockey
Silver Medal,2,00:00.0,FORCHERIO Maria Emilia,Women,Argentina,Hockey
Silver Medal,2,00:00.0,BARRIONUEVO Maria Noel,Women,Argentina,Hockey
Silver Medal,2,00:00.0,SANCHEZ MOCCIA Rocio,Women,Argentina,Hockey
Silver Medal,2,00:00.0,MACCARI Sofia,Women,Argentina,Hockey
Silver Medal,2,00:00.0,RAPOSO RUIZ de los LLANOS Valentina,Women,Argentina,Hockey
Bronze Medal,3,00:00.0,ANSLEY Giselle,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,BALSDON Grace,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,CRACKLES Fiona Anne,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,HINCH Madeleine Claire,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,JONES Sarah Louise,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,MARTIN Hannah,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,McCALLIN Shona,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,OWSLEY Lily,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,PEARNE-WEBB Hollie,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,PETTER Isabelle,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,RAYER Elena Sian,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,ROBERTSON Sarah,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,TOMAN Anna-Frances,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,TOWNSEND Susannah,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,UNSWORTH Laura,Women,Great Britain,Hockey
Bronze Medal,3,00:00.0,WILKINSON Leah Julia,Women,Great Britain,Hockey
Gold Medal,1,00:00.0,KIYUNA Ryo,Men's Kata,Japan,Karate
Silver Medal,2,00:00.0,QUINTERO Damian,Men's Kata,Spain,Karate
Bronze Medal,3,00:00.0,SOFUOGLU Ali,Men's Kata,Turkey,Karate
Bronze Medal,3,00:00.0,TORRES GUTIERREZ Ariel,Men's Kata,United States of America,Karate
Gold Medal,1,00:00.0,BUSA Luigi,Men's Kumite -75kg,Italy,Karate
Silver Medal,2,00:00.0,AGHAYEV Rafael,Men's Kumite -75kg,Azerbaijan,Karate
Bronze Medal,3,00:00.0,HARSPATAKI Karoly Gabor,Men's Kumite -75kg,Hungary,Karate
Bronze Medal,3,00:00.0,HORUNA Stanislav,Men's Kumite -75kg,Ukraine,Karate
Gold Medal,1,00:00.0,PREKOVIC Jovana,Women's Kumite -61kg,Serbia,Karate
Silver Medal,2,00:00.0,YIN Xiaoyan,Women's Kumite -61kg,People's Republic of China,Karate
Bronze Medal,3,00:00.0,LOTFY Giana,Women's Kumite -61kg,Egypt,Karate
Bronze Medal,3,00:00.0,COBAN Merve,Women's Kumite -61kg,Turkey,Karate
Gold Medal,1,00:00.0,FRENCH Kate,Women's Individual,Great Britain,Modern Pentathlon
Silver Medal,2,00:00.0,ASADAUSKAITE Laura,Women's Individual,Lithuania,Modern Pentathlon
Bronze Medal,3,00:00.0,KOVACS Sarolta,Women's Individual,Hungary,Modern Pentathlon
Gold Medal,1,00:00.0,GARNBRET Janja,Women's Combined,Slovenia,Sport Climbing
Silver Medal,2,00:00.0,NONAKA Miho,Women's Combined,Japan,Sport Climbing
Bronze Medal,3,00:00.0,NOGUCHI Akiyo,Women's Combined,Japan,Sport Climbing
Gold Medal,1,00:00.0,MA Long,Men's Team,People's Republic of China,Table Tennis
Gold Medal,1,00:00.0,XU Xin,Men's Team,People's Republic of China,Table Tennis
Gold Medal,1,00:00.0,FAN Zhendong,Men's Team,People's Republic of China,Table Tennis
Silver Medal,2,00:00.0,OVTCHAROV Dimitrij,Men's Team,Germany,Table Tennis
Silver Medal,2,00:00.0,BOLL Timo,Men's Team,Germany,Table Tennis
Silver Medal,2,00:00.0,FRANZISKA Patrick,Men's Team,Germany,Table Tennis
Bronze Medal,3,00:00.0,NIWA Koki,Men's Team,Japan,Table Tennis
Bronze Medal,3,00:00.0,HARIMOTO Tomokazu,Men's Team,Japan,Table Tennis
Bronze Medal,3,00:00.0,MIZUTANI Jun,Men's Team,Japan,Table Tennis
Gold Medal,1,00:00.0,STEVESON Gable Dan,Men's Freestyle 125kg,United States of America,Wrestling
Silver Medal,2,00:00.0,PETRIASHVILI Geno,Men's Freestyle 125kg,Georgia,Wrestling
Bronze Medal,3,00:00.0,ZARE Amir Hossein,Men's Freestyle 125kg,Islamic Republic of Iran,Wrestling
Bronze Medal,3,00:00.0,AKGUL Taha,Men's Freestyle 125kg,Turkey,Wrestling
Gold Medal,1,00:00.0,SIDAKOV Zaurbek,Men's Freestyle 74kg,ROC,Wrestling
Silver Medal,2,00:00.0,KADZIMAHAMEDAU Mahamedkhabib,Men's Freestyle 74kg,Belarus,Wrestling
Bronze Medal,3,00:00.0,DAKE Kyle Douglas,Men's Freestyle 74kg,United States of America,Wrestling
Bronze Medal,3,00:00.0,ABDURAKHMONOV Bekzod,Men's Freestyle 74kg,Uzbekistan,Wrestling
Gold Medal,1,00:00.0,MUKAIDA Mayu,Women's Freestyle 53kg,Japan,Wrestling
Silver Medal,2,00:00.0,PANG Qianyu,Women's Freestyle 53kg,People's Republic of China,Wrestling
Bronze Medal,3,00:00.0,KALADZINSKAYA Vanesa,Women's Freestyle 53kg,Belarus,Wrestling
Bronze Medal,3,00:00.0,BAT OCHIR Bolortuya,Women's Freestyle 53kg,Mongolia,Wrestling
Gold Medal,1,00:00.0,ROMASHINA Svetlana,Team,ROC,Artistic Swimming
Gold Medal,1,00:00.0,KOLESNICHENKO Svetlana,Team,ROC,Artistic Swimming
Gold Medal,1,00:00.0,PATSKEVICH Aleksandra,Team,ROC,Artistic Swimming
Gold Medal,1,00:00.0,SHISHKINA Alla,Team,ROC,Artistic Swimming
Gold Medal,1,00:00.0,CHIGIREVA Vlada,Team,ROC,Artistic Swimming
Gold Medal,1,00:00.0,GOLIADKINA Marina,Team,ROC,Artistic Swimming
Gold Medal,1,00:00.0,KOMAR Polina,Team,ROC,Artistic Swimming
Gold Medal,1,00:00.0,SHUROCHKINA Maria,Team,ROC,Artistic Swimming
Silver Medal,2,00:00.0,SUN Wenyan,Team,People's Republic of China,Artistic Swimming
Silver Medal,2,00:00.0,FENG Yu,Team,People's Republic of China,Artistic Swimming
Silver Medal,2,00:00.0,HUANG Xuechen,Team,People's Republic of China,Artistic Swimming
Silver Medal,2,00:00.0,GUO Li,Team,People's Republic of China,Artistic Swimming
Silver Medal,2,00:00.0,LIANG Xinping,Team,People's Republic of China,Artistic Swimming
Silver Medal,2,00:00.0,YIN Chengxin,Team,People's Republic of China,Artistic Swimming
Silver Medal,2,00:00.0,XIAO Yanning,Team,People's Republic of China,Artistic Swimming
Silver Medal,2,00:00.0,WANG Qianyi,Team,People's Republic of China,Artistic Swimming
Bronze Medal,3,00:00.0,FIEDINA Marta,Team,Ukraine,Artistic Swimming
Bronze Medal,3,00:00.0,YAKHNO Yelyzaveta,Team,Ukraine,Artistic Swimming
Bronze Medal,3,00:00.0,ALEKSIIVA Vladyslava,Team,Ukraine,Artistic Swimming
Bronze Medal,3,00:00.0,ALEKSIIVA Maryna,Team,Ukraine,Artistic Swimming
Bronze Medal,3,00:00.0,REZNIK Kateryna,Team,Ukraine,Artistic Swimming
Bronze Medal,3,00:00.0,SHYNKARENKO Alina,Team,Ukraine,Artistic Swimming
Bronze Medal,3,00:00.0,SYDORENKO Kseniya,Team,Ukraine,Artistic Swimming
Bronze Medal,3,00:00.0,SAVCHUK Anastasiya,Team,Ukraine,Artistic Swimming
Gold Medal,1,00:00.0,INGEBRIGTSEN Jakob,Men's 1500m,Norway,Athletics
Silver Medal,2,00:00.0,CHERUIYOT Timothy,Men's 1500m,Kenya,Athletics
Bronze Medal,3,00:00.0,KERR Josh,Men's 1500m,Great Britain,Athletics
Gold Medal,1,00:00.0,ROSS Randolph,Men's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,BENJAMIN Rai,Men's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,STEWART Trevor,Men's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,NORWOOD Vernon,Men's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,DEADMON Bryce,Men's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,CHERRY Michael,Men's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,NORMAN Michael,Men's 4 x 400m Relay,United States of America,Athletics
Silver Medal,2,00:00.0,van DIEPEN Tony,Men's 4 x 400m Relay,Netherlands,Athletics
Silver Medal,2,00:00.0,AGARD Terrence,Men's 4 x 400m Relay,Netherlands,Athletics
Silver Medal,2,00:00.0,ANGELA Ramsey,Men's 4 x 400m Relay,Netherlands,Athletics
Silver Medal,2,00:00.0,BONEVACIA Liemarvin,Men's 4 x 400m Relay,Netherlands,Athletics
Silver Medal,2,00:00.0,DOBBER Jochem,Men's 4 x 400m Relay,Netherlands,Athletics
Bronze Medal,3,00:00.0,MAKWALA Isaac,Men's 4 x 400m Relay,Botswana,Athletics
Bronze Medal,3,00:00.0,NGOZI Zibane,Men's 4 x 400m Relay,Botswana,Athletics
Bronze Medal,3,00:00.0,THEBE Baboloki,Men's 4 x 400m Relay,Botswana,Athletics
Bronze Medal,3,00:00.0,NDORI Bayapo,Men's 4 x 400m Relay,Botswana,Athletics
Gold Medal,1,00:00.0,CHOPRA Neeraj,Men's Javelin Throw,India,Athletics
Silver Medal,2,00:00.0,VADLEJCH Jakub,Men's Javelin Throw,Czech Republic,Athletics
Bronze Medal,3,00:00.0,VESELY Vitezslav,Men's Javelin Throw,Czech Republic,Athletics
Gold Medal,1,00:00.0,HASSAN Sifan,"Women's 10,000m",Netherlands,Athletics
Silver Medal,2,00:00.0,GEZAHEGNE Kalkidan,"Women's 10,000m",Bahrain,Athletics
Bronze Medal,3,00:00.0,GIDEY Letesenbet,"Women's 10,000m",Ethiopia,Athletics
Gold Medal,1,00:00.0,WHITNEY Kaylin,Women's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,ELLIS Kendall,Women's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,MUHAMMAD Dalilah,Women's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,McLAUGHLIN Sydney,Women's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,IRBY Lynna,Women's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,JONATHAS Wadeline,Women's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,MU Athing,Women's 4 x 400m Relay,United States of America,Athletics
Gold Medal,1,00:00.0,FELIX Allyson,Women's 4 x 400m Relay,United States of America,Athletics
Silver Medal,2,00:00.0,HOLUB-KOWALIK Malgorzata,Women's 4 x 400m Relay,Poland,Athletics
Silver Medal,2,00:00.0,KIELBASINSKA Anna,Women's 4 x 400m Relay,Poland,Athletics
Silver Medal,2,00:00.0,SWIETY-ERSETIC Justyna,Women's 4 x 400m Relay,Poland,Athletics
Silver Medal,2,00:00.0,BAUMGART-WITAN Iga,Women's 4 x 400m Relay,Poland,Athletics
Silver Medal,2,00:00.0,KACZMAREK Natalia,Women's 4 x 400m Relay,Poland,Athletics
Bronze Medal,3,00:00.0,BROMFIELD Junelle,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze Medal,3,00:00.0,JACKSON Shericka,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze Medal,3,00:00.0,RUSSELL Janieve,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze Medal,3,00:00.0,WILLIAMS Stacey Ann,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze Medal,3,00:00.0,McGREGOR Roneisha,Women's 4 x 400m Relay,Jamaica,Athletics
Bronze Medal,3,00:00.0,McLEOD Candice,Women's 4 x 400m Relay,Jamaica,Athletics
Gold Medal,1,00:00.0,LASITSKENE Mariya,Women's High Jump,ROC,Athletics
Silver Medal,2,00:00.0,McDERMOTT Nicola,Women's High Jump,Australia,Athletics
Bronze Medal,3,00:00.0,MAHUCHIKH Yaroslava,Women's High Jump,Ukraine,Athletics
Gold Medal,1,00:00.0,JEPCHIRCHIR Peres,Women's Marathon,Kenya,Athletics
Silver Medal,2,00:00.0,KOSGEI Brigid,Women's Marathon,Kenya,Athletics
Bronze Medal,3,00:00.0,SEIDEL Molly,Women's Marathon,United States of America,Athletics
Gold Medal,1,00:00.0,SAKAMOTO Hayato,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,YAMASAKI Yasuaki,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,IWAZAKI Suguru,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,UMENO Ryutaro,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,MORISHITA Masato,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,KIKUCHI Ryosuke,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,SUZUKI Seiya,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,OHNO Yudai,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,YAMADA Tetsuto,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,MURAKAMI Munetaka,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,GENDA Sosuke,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,TAIRA Kaima,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,SENGA Koudai,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,KAI Takuya,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,YANAGITA Yuki,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,KONDOH Kensuke,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,ASAMURA Hideto,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,YAMAMOTO Yoshinobu,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,YOSHIDA Masataka,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,AOYAGI Koyo,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,KURIBAYASHI Ryoji,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,KURIHARA Ryoya,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,ITOH Hiromi,Baseball,Japan,Baseball/Softball
Gold Medal,1,00:00.0,TANAKA Masahiro,Baseball,Japan,Baseball/Softball
Silver Medal,2,00:00.0,CARTER Anthony,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,DICKSON Brandon,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,ROBERTSON David,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,ALVAREZ Eddy,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,JACKSON JR Edwin,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,MARTINEZ Nick,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,FRAZIER Todd,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,CASAS Triston,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,FILIA Eric,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,FEDEROWICZ Tim,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,ALLEN Nick,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,WESTBROOK Jamie,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,KOLOZSVARY Mark,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,AUSTIN Tyler,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,WOODS RICHARDSON Simeon,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,RYAN Joe,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,BAZ Shane,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,STARLING Bubba,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,LOPEZ Jack,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,GOSE Anthony,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,KAZMIR Scott,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,McGOUGH Scott,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,KIVLEHAN Patrick,Baseball,United States of America,Baseball/Softball
Silver Medal,2,00:00.0,RYAN Ryder,Baseball,United States of America,Baseball/Softball
Bronze Medal,3,00:00.0,GARCIA Junior,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,CASTILLO Luis,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,MIESES Johan,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,RODRIGUEZ Julio,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,ROSSO Ramon,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,VALDES Raul,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,BALDWIN Roldani,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,SANCHEZ Angel,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,MERCEDES Cristopher,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,ALVAREZ Dario,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,ARIAS Gabriel,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,ASENCIO Jairo,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,CABRERA Melky,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,PEREZ Yefri,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,MARINEZ Jhan,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,NUNEZ Gustavo,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,VALERIO Charlie,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,GUZMAN Jeison,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,MEJIA Erick,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,REYES Denyi,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,BAUTISTA Jose,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,BONIFACIO Emilio,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,DIAZ Jose,Baseball,Dominican Republic,Baseball/Softball
Bronze Medal,3,00:00.0,FRANCISCO Juan,Baseball,Dominican Republic,Baseball/Softball
Gold Medal,1,00:00.0,MCGEE Javale,Men,United States of America,Basketball
Gold Medal,1,00:00.0,MIDDLETON Khris,Men,United States of America,Basketball
Gold Medal,1,00:00.0,TATUM Jayson,Men,United States of America,Basketball
Gold Medal,1,00:00.0,DURANT Kevin,Men,United States of America,Basketball
Gold Medal,1,00:00.0,BOOKER Devin,Men,United States of America,Basketball
Gold Medal,1,00:00.0,GREEN Draymond,Men,United States of America,Basketball
Gold Medal,1,00:00.0,LILLARD Damian,Men,United States of America,Basketball
Gold Medal,1,00:00.0,GRANT Jerami,Men,United States of America,Basketball
Gold Medal,1,00:00.0,LAVINE Zach,Men,United States of America,Basketball
Gold Medal,1,00:00.0,HOLIDAY Jrue,Men,United States of America,Basketball
Gold Medal,1,00:00.0,JOHNSON Keldon,Men,United States of America,Basketball
Gold Medal,1,00:00.0,ADEBAYO Bam,Men,United States of America,Basketball
Silver Medal,2,00:00.0,CORNELIE Petr,Men,France,Basketball
Silver Medal,2,00:00.0,ALBICY Andrew,Men,France,Basketball
Silver Medal,2,00:00.0,HEURTEL Thomas,Men,France,Basketball
Silver Medal,2,00:00.0,NTILIKINA Frank,Men,France,Basketball
Silver Medal,2,00:00.0,de COLO Nando,Men,France,Basketball
Silver Medal,2,00:00.0,FOURNIER Evan,Men,France,Basketball
Silver Medal,2,00:00.0,BATUM Nicolas,Men,France,Basketball
Silver Medal,2,00:00.0,LUWAWU CABARROT Timothe,Men,France,Basketball
Silver Medal,2,00:00.0,YABUSELE Guerschon,Men,France,Basketball
Silver Medal,2,00:00.0,FALL Moustapha,Men,France,Basketball
Silver Medal,2,00:00.0,GOBERT Rudy,Men,France,Basketball
Silver Medal,2,00:00.0,POIRIER Vincent,Men,France,Basketball
Bronze Medal,3,00:00.0,GREEN Josh,Men,Australia,Basketball
Bronze Medal,3,00:00.0,BAYNES Aron,Men,Australia,Basketball
Bronze Medal,3,00:00.0,DELLAVEDOVA Matthew,Men,Australia,Basketball
Bronze Medal,3,00:00.0,EXUM Dante,Men,Australia,Basketball
Bronze Medal,3,00:00.0,GOULDING Chris,Men,Australia,Basketball
Bronze Medal,3,00:00.0,INGLES Joe,Men,Australia,Basketball
Bronze Medal,3,00:00.0,KAY Nic,Men,Australia,Basketball
Bronze Medal,3,00:00.0,LANDALE Jock,Men,Australia,Basketball
Bronze Medal,3,00:00.0,MILLS Patty,Men,Australia,Basketball
Bronze Medal,3,00:00.0,THYBULLE Matisse,Men,Australia,Basketball
Bronze Medal,3,00:00.0,REATH Duop Thomas,Men,Australia,Basketball
Bronze Medal,3,00:00.0,SOBEY Nathan,Men,Australia,Basketball
Gold Medal,1,00:00.0,MOL Anders Berntsen,Men,Norway,Beach Volleyball
Gold Medal,1,00:00.0,SORUM Christian Sandlie,Men,Norway,Beach Volleyball
Silver Medal,2,00:00.0,KRASILNIKOV Viacheslav,Men,ROC,Beach Volleyball
Silver Medal,2,00:00.0,STOYANOVSKIY Oleg,Men,ROC,Beach Volleyball
Bronze Medal,3,00:00.0,YOUNOUSSE Cherif,Men,Qatar,Beach Volleyball
Bronze Medal,3,00:00.0,TIJAN Ahmed,Men,Qatar,Beach Volleyball
Gold Medal,1,00:00.0,YAFAI Galal,Men's Fly (48-52kg),Great Britain,Boxing
Silver Medal,2,00:00.0,PAALAM Carlo,Men's Fly (48-52kg),Philippines,Boxing
Gold Medal,1,00:00.0,SOUSA Hebert,Men's Middle (69-75kg),Brazil,Boxing
Silver Medal,2,00:00.0,KHYZHNIAK Oleksandr,Men's Middle (69-75kg),Ukraine,Boxing
Gold Medal,1,00:00.0,KRASTEVA Stoyka Zhelyazkova,Women's Fly (48-51kg),Bulgaria,Boxing
Silver Medal,2,00:00.0,CAKIROGLU Buse Naz,Women's Fly (48-51kg),Turkey,Boxing
Gold Medal,1,00:00.0,SURMENELI Busenaz,Women's Welter (64-69kg),Turkey,Boxing
Silver Medal,2,00:00.0,GU Hong,Women's Welter (64-69kg),People's Republic of China,Boxing
Gold Medal,1,00:00.0,QUEIROZ dos SANTOS Isaquias,Men's Canoe Single 1000m,Brazil,Canoe Sprint
Silver Medal,2,00:00.0,LIU Hao,Men's Canoe Single 1000m,People's Republic of China,Canoe Sprint
Bronze Medal,3,00:00.0,TARNOVSCHI Serghei,Men's Canoe Single 1000m,Republic of Moldova,Canoe Sprint
Gold Medal,1,00:00.0,LEMKE Max,Men's Kayak Four 500m,Germany,Canoe Sprint
Gold Medal,1,00:00.0,LIEBSCHER Tom,Men's Kayak Four 500m,Germany,Canoe Sprint
Gold Medal,1,00:00.0,RAUHE Ronald,Men's Kayak Four 500m,Germany,Canoe Sprint
